source_event_id,customer_id,full_name,national_id,date_of_birth,gender,marital_status,employment_status,monthly_income,branch_code,segment,onboarded_at,kyc_status,risk_rating,payload
EV-CUST-C00001,C00001,Customer 00001,NID32706266,1977-04-08,male,divorced,unemployed,16875.81,NBO-001,retail,2020-12-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00002,C00002,Customer 00002,NID29772475,1972-12-21,female,single,self-employed,16990.20,ELD-030,retail,2024-04-15T00:00:00+00:00,verified,low,{}
EV-CUST-C00003,C00003,Customer 00003,NID21541238,1966-02-13,female,single,unemployed,72262.06,KSM-020,retail,2019-06-28T00:00:00+00:00,verified,high,{}
EV-CUST-C00004,C00004,Customer 00004,NID33641507,2000-10-28,male,single,self-employed,36988.37,NKR-040,retail,2023-10-07T00:00:00+00:00,verified,low,{}
EV-CUST-C00005,C00005,Customer 00005,NID21920906,1977-08-21,male,divorced,business-owner,22575.11,ELD-030,retail,2023-03-12T00:00:00+00:00,pending,medium,{}
EV-CUST-C00006,C00006,Customer 00006,NID33090883,1975-03-15,male,divorced,business-owner,27835.40,NKR-040,retail,2024-05-21T00:00:00+00:00,verified,low,{}
EV-CUST-C00007,C00007,Customer 00007,NID20558837,1985-05-03,male,divorced,unemployed,638876.11,MSA-010,sme,2021-10-23T00:00:00+00:00,verified,medium,{}
EV-CUST-C00008,C00008,Customer 00008,NID22146585,1995-09-09,male,single,unemployed,25472.27,NBO-001,retail,2024-10-13T00:00:00+00:00,verified,medium,{}
EV-CUST-C00009,C00009,Customer 00009,NID29994697,2003-07-20,female,divorced,business-owner,26998.65,KSM-020,retail,2019-07-13T00:00:00+00:00,verified,low,{}
EV-CUST-C00010,C00010,Customer 00010,NID24588301,1994-05-25,male,married,employed,568574.91,ELD-030,sme,2023-02-10T00:00:00+00:00,verified,low,{}
EV-CUST-C00011,C00011,Customer 00011,NID35585616,1966-11-10,male,divorced,employed,28398.89,KSM-020,retail,2021-03-12T00:00:00+00:00,verified,low,{}
EV-CUST-C00012,C00012,Customer 00012,NID12874052,1979-04-02,female,single,self-employed,680871.47,NBO-002,sme,2021-10-03T00:00:00+00:00,verified,high,{}
EV-CUST-C00013,C00013,Customer 00013,NID23387959,1998-07-07,female,married,unemployed,54575.53,NBO-001,retail,2021-12-10T00:00:00+00:00,verified,low,{}
EV-CUST-C00014,C00014,Customer 00014,NID11975475,1997-04-01,male,single,employed,56544.11,NKR-040,retail,2019-12-21T00:00:00+00:00,verified,low,{}
EV-CUST-C00015,C00015,Customer 00015,NID25870338,1994-03-24,female,single,employed,51406.09,NBO-001,retail,2025-04-26T00:00:00+00:00,verified,low,{}
EV-CUST-C00016,C00016,Customer 00016,NID34434793,1963-11-21,female,single,self-employed,79787.76,NBO-002,retail,2019-01-13T00:00:00+00:00,verified,low,{}
EV-CUST-C00017,C00017,Customer 00017,NID28139121,1975-02-15,male,single,self-employed,35890.89,NBO-002,retail,2019-01-21T00:00:00+00:00,verified,low,{}
EV-CUST-C00018,C00018,Customer 00018,NID36344569,1970-07-01,female,married,unemployed,694392.43,ELD-030,sme,2024-05-26T00:00:00+00:00,pending,high,{}
EV-CUST-C00019,C00019,Customer 00019,NID34687243,1969-04-10,male,divorced,business-owner,68880.62,NBO-001,retail,2021-01-19T00:00:00+00:00,verified,low,{}
EV-CUST-C00020,C00020,Customer 00020,NID12280388,1963-09-03,male,married,employed,482741.90,KSM-020,sme,2020-02-20T00:00:00+00:00,verified,low,{}
EV-CUST-C00021,C00021,Customer 00021,NID32472274,1997-10-17,female,single,business-owner,46441.87,MSA-010,retail,2023-05-07T00:00:00+00:00,verified,medium,{}
EV-CUST-C00022,C00022,Customer 00022,NID17152271,1964-01-15,female,single,business-owner,84676.37,NBO-001,retail,2019-02-18T00:00:00+00:00,verified,low,{}
EV-CUST-C00023,C00023,Customer 00023,NID28609364,1979-10-26,female,divorced,employed,77530.87,NBO-002,retail,2018-11-27T00:00:00+00:00,verified,medium,{}
EV-CUST-C00024,C00024,Customer 00024,NID31281494,1978-10-07,female,divorced,unemployed,268605.31,NBO-003,sme,2023-04-22T00:00:00+00:00,verified,medium,{}
EV-CUST-C00025,C00025,Customer 00025,NID18789760,1977-01-01,male,divorced,unemployed,46768.18,KSM-020,retail,2023-03-21T00:00:00+00:00,verified,low,{}
EV-CUST-C00026,C00026,Customer 00026,NID14969202,1969-09-02,female,single,employed,85878.82,NBO-003,retail,2023-10-18T00:00:00+00:00,verified,high,{}
EV-CUST-C00027,C00027,Customer 00027,NID21867485,1982-04-22,female,divorced,self-employed,791758.22,NBO-002,corp,2021-11-04T00:00:00+00:00,verified,high,{}
EV-CUST-C00028,C00028,Customer 00028,NID32478353,1961-03-24,male,married,self-employed,682407.24,NKR-040,sme,2023-07-26T00:00:00+00:00,verified,low,{}
